Date,Unit,Minimum,Maximum,Average,Market
2020-09-12,Kg,50,55,52.5,Tomato
2016-07-30,Kg,80,85,82.5,Tomato
2015-04-14,Kg,35,40,37.5,Tomato
2017-09-17,Kg,35,40,37.5,Tomato
2014-11-22,Kg,20,24,22.0,Tomato
2017-10-16,Kg,50,55,52.5,Tomato
2016-06-07,Kg,50,60,55.0,Tomato
2019-09-14,Kg,30,35,32.5,Tomato
2016-06-16,Kg,30,38,34.0,Tomato
2020-04-06,Kg,35,40,37.5,Tomato
2013-09-10,Kg,44,50,47.0,Tomato
2020-06-05,Kg,25,30,27.5,Tomato
2017-11-06,Kg,70,75,72.5,Tomato
2018-02-22,Kg,20,25,22.5,Tomato
2019-12-15,Kg,50,55,52.5,Tomato
2020-12-13,Kg,40,50,45.0,Tomato
2016-12-08,Kg,30,40,35.0,Tomato
2017-04-27,Kg,25,30,27.5,Tomato
2021-04-16,Kg,15,20,17.5,Tomato
2017-10-11,Kg,58,65,61.5,Tomato
2020-04-02,Kg,45,50,47.5,Tomato
2018-01-18,Kg,35,40,37.5,Tomato
2016-01-07,Kg,15,20,17.5,Tomato
2013-07-23,Kg,30,35,32.5,Tomato
2014-05-11,Kg,15,20,17.5,Tomato
2018-05-20,Kg,25,30,27.5,Tomato
2018-06-11,Kg,40,45,42.5,Tomato
2015-06-09,Kg,45,50,47.5,Tomato
2020-07-19,Kg,12,18,15.0,Tomato
2014-11-09,Kg,28,34,31.0,Tomato
2017-10-02,Kg,25,30,27.5,Tomato
2021-01-30,Kg,15,20,17.5,Tomato
2017-02-17,Kg,15,20,17.5,Tomato
2013-06-25,Kg,25,30,27.5,Tomato
2018-06-03,Kg,40,45,42.5,Tomato
2019-03-01,Kg,30,35,32.5,Tomato
2019-01-09,Kg,30,35,32.5,Tomato
2016-06-04,Kg,50,60,55.0,Tomato
2013-11-04,Kg,50,55,52.5,Tomato
2018-12-15,Kg,20,25,22.5,Tomato
2014-06-25,Kg,18,22,20.0,Tomato
2017-05-31,Kg,40,45,42.5,Tomato
2015-06-19,Kg,35,40,37.5,Tomato
2018-06-07,Kg,35,40,37.5,Tomato
2015-05-25,Kg,70,75,72.5,Tomato
2016-09-04,Kg,45,55,50.0,Tomato
2018-01-21,Kg,30,35,32.5,Tomato
2017-08-07,Kg,40,50,45.0,Tomato
2013-07-10,Kg,30,35,32.5,Tomato
2020-02-25,Kg,15,20,17.5,Tomato
2019-04-07,Kg,35,40,37.5,Tomato
2020-07-09,Kg,12,18,15.0,Tomato
2015-03-31,Kg,35,40,37.5,Tomato
2017-01-24,Kg,20,30,25.0,Tomato
2021-04-11,Kg,25,35,30.0,Tomato
2014-04-03,Kg,38,45,41.5,Tomato
2019-01-11,Kg,30,35,32.5,Tomato
2021-04-05,Kg,30,40,35.0,Tomato
2014-05-02,Kg,28,32,30.0,Tomato
2019-11-17,Kg,35,40,37.5,Tomato
2017-03-09,Kg,25,30,27.5,Tomato
2018-08-22,Kg,25,30,27.5,Tomato
2020-09-29,Kg,90,95,92.5,Tomato
2016-12-05,Kg,25,35,30.0,Tomato
2016-09-27,Kg,45,55,50.0,Tomato
2020-08-14,Kg,25,30,27.5,Tomato
2019-12-04,Kg,30,35,32.5,Tomato
2014-07-04,Kg,14,18,16.0,Tomato
